iter	RMSE
235	3.235072123
236	3.224280109
237	3.220841316
238	3.211202267
239	3.207425772
240	3.201679225
241	3.194449073
242	3.192099145
243	3.181455925
244	3.174779615
245	3.170705406
246	3.165779016
247	3.157870956
248	3.152938023
249	3.143242983
250	3.136373921
251	3.130286149
252	3.12623425
253	3.123866815
254	3.113631457
255	3.111325947
256	3.107910146
257	3.098584133
258	3.089435407
259	3.084370508
260	3.079926448
261	3.075961734
262	3.06599406
263	3.057536631
264	3.051748711
265	3.04528768
266	3.040901742
267	3.033500193
268	3.024287587
269	3.019400278
270	3.0083417
271	3.00526121
272	2.997498394
273	2.994397005
274	2.987415295
275	2.983873881
276	2.977439235
277	2.971599682
278	2.96571895
279	2.959789346
280	2.955590831
281	2.947876417
282	2.94413738
283	2.934405
284	2.929402105
285	2.926262449
286	2.921601532
287	2.915901272
288	2.912457784
289	2.904203093
290	2.900647372
291	2.897801545
292	2.890454838
293	2.887815308
294	2.879061866
295	2.876140499
296	2.867628218
297	2.861273831
298	2.85293473
299	2.847334948
300	2.844941082
301	2.836220464
302	2.833208285
303	2.828163669
304	2.821007964
305	2.816512175
306	2.810182314
307	2.807383744
308	2.802781604
309	2.801094026
310	2.79338649
311	2.789490552
312	2.78751031
313	2.785137096
314	2.783138818
315	2.774100343
316	2.76857133
317	2.764489875
318	2.76274924
319	2.760297953
320	2.75542033
321	2.749949505
322	2.744228381
323	2.737060199
324	2.73230759
325	2.727196053
326	2.723523757
327	2.72207327
328	2.714767018
329	2.711402951
330	2.706275103
331	2.701964791
332	2.698812599
333	2.694600869
334	2.69191675
335	2.687161141
336	2.683983451
337	2.679931191
338	2.675332801
339	2.670146261
340	2.66533576
341	2.662157973
342	2.658921147
343	2.655432527
344	2.653208694
345	2.650291813
346	2.646837238
347	2.638724499
348	2.636009829
349	2.630672493
350	2.628580199
351	2.626202029
352	2.622356786
353	2.615296384
354	2.610764988
355	2.609157283
356	2.605829135
357	2.603044977
358	2.599534321
359	2.595907674
360	2.591076323
361	2.589259733
362	2.586491509
363	2.58396058
364	2.578209114
365	2.576351438
366	2.574612145
367	2.569629944
368	2.568532482
369	2.566204297
370	2.564341203
371	2.562326272
372	2.55930229
373	2.55442201
374	2.551773421
375	2.545415896
376	2.543958706
377	2.538102002
378	2.535232208
379	2.532389806
380	2.530866458
381	2.527659296
382	2.522913127
383	2.521100217
384	2.516080497
385	2.5134176
386	2.511831869
387	2.506995566
388	2.503412949
389	2.499647483
390	2.496546683
391	2.491383551
392	2.489103614
393	2.485268618
394	2.482862804
395	2.477354135
396	2.473989482
397	2.472451589
398	2.466657736
399	2.465259117
400	2.461117779
401	2.4584077
402	2.456148258
403	2.4542278
404	2.452511115
405	2.449739874
406	2.44681244
407	2.44340261
408	2.440398189
409	2.437989877
410	2.435042221
411	2.430691205
412	2.428149124
413	2.424585041
414	2.423209334
415	2.42049362
416	2.418619195
417	2.415876695
418	2.41363163
419	2.408327971
420	2.406179345
421	2.404116611
422	2.401707527
423	2.399581565
424	2.396981852
425	2.395255467
426	2.392531482
427	2.389492149
428	2.385410771
429	2.382555387
430	2.378265663
431	2.375124139
432	2.371216021
433	2.366841759
434	2.364544698
435	2.359560481
436	2.356415193
437	2.353185738
438	2.350748868
439	2.34890588
440	2.347736174
441	2.344371312
442	2.341965121
443	2.339403522
444	2.334932617
445	2.333240759
446	2.332186131
447	2.328153954
448	2.324757793
449	2.322560274
450	2.32016309
451	2.31801879
452	2.314677366
453	2.311756962
454	2.310665267
455	2.308793624
456	2.306552877
457	2.30427081
458	2.302748792
459	2.299735248
460	2.297494597
461	2.296475052
462	2.295016192
463	2.291361124
464	2.289388764
465	2.286404054
466	2.283487857
467	2.281389659
468	2.279099566
469	2.277969927
470	2.276498174
471	2.275359623
472	2.272887177
473	2.269065056
474	2.267198649
475	2.26497532
476	2.261350157
477	2.257883963
478	2.255312922
479	2.253344257
480	2.251428017
481	2.24951865
482	2.248618829
483	2.246716399
484	2.244549213
485	2.242948854
486	2.241768259
487	2.238980185
488	2.236169038
489	2.231760914
490	2.230522411
491	2.228824452
492	2.226771554
493	2.224503069
494	2.222532137
495	2.221633059
496	2.219547449
497	2.217406117
498	2.215265486
499	2.212426835
500	2.210630777
501	2.20826935
502	2.205909115
503	2.205171432
504	2.203016783
505	2.201172037
506	2.199088267
507	2.196967104
508	2.194340967
509	2.192057951
510	2.191122514
511	2.18927675
512	2.188195954
513	2.187251839
514	2.185805867
515	2.182675677
516	2.180659573
517	2.175652858
518	2.174503754
519	2.17231084
520	2.170293261
521	2.168269159
522	2.16730809
523	2.165110108
524	2.163177886
525	2.161049209
526	2.158926813
527	2.157317019
528	2.152632482
529	2.151363824
530	2.150471002
531	2.149539345
532	2.146744407
533	2.145227433
534	2.143185288
535	2.141645851
536	2.140104564
537	2.135902631
538	2.133926609
539	2.132379958
540	2.130131384
541	2.12789136
542	2.12495052
543	2.123584933
544	2.12228956
545	2.120145034
546	2.118507714
547	2.116624201
548	2.113675942
549	2.111949839
550	2.108404671
551	2.107201543
552	2.105713083
553	2.10430443
554	2.101812706
555	2.099886909
556	2.097629514
557	2.095153868
558	2.093201622
559	2.092102983
560	2.089909913
561	2.088241174
562	2.084292844
563	2.082856453
564	2.082209993
565	2.078547414
566	2.076563784
567	2.075074021
568	2.073838129
569	2.073193686
570	2.07027996
571	2.067130274
572	2.066139098
573	2.063537284
574	2.061875406
575	2.060216033
576	2.057092686
577	2.054136611
578	2.052057682
579	2.050538622
580	2.049024408
581	2.047503648
582	2.044711468
583	2.042927703
584	2.041238344
585	2.038689126
586	2.036047053
587	2.033418144
588	2.031769676
589	2.030365287
590	2.028735446
591	2.025629407
592	2.023001256
593	2.02123448
594	2.019798744
595	2.018630276
596	2.015673712
597	2.014168527
598	2.01259307
599	2.010047391
600	2.007649026
601	2.006182322
602	2.00447609
603	2.002853708
604	2.001366535
605	2.000040218
606	1.997138111
607	1.994995342
608	1.993335421
609	1.990940618
610	1.990279209
611	1.988503456
612	1.986829662
613	1.985462802
614	1.984022609
615	1.981877772
616	1.980345419
617	1.979183415
618	1.977296377
619	1.974963636
620	1.973020773
621	1.971618118
622	1.970314783
623	1.968714644
624	1.967662455
625	1.966237211
626	1.964501815
627	1.963563338
628	1.961961005
629	1.961311094
630	1.959994989
631	1.957352702
632	1.956258658
633	1.953834912
634	1.951947347
635	1.94905759
636	1.947696203
637	1.94672749
638	1.945775357
639	1.943477878
640	1.941579434
641	1.940821877
642	1.938789681
643	1.937569353
644	1.936051028
645	1.933436623
646	1.931293508
647	1.929547646
648	1.927416957
649	1.926258776
650	1.924526956
651	1.922780937
652	1.92151051
653	1.920162774
654	1.917705774
655	1.916259683
656	1.91507244
657	1.913185003
658	1.911479491
659	1.910179917
660	1.9087499
661	1.908029052
662	1.906847213
663	1.905247504
664	1.90456946
665	1.904069351
666	1.902829821
667	1.901714099
668	1.900653017
669	1.898361309
670	1.896764478
671	1.895179733
672	1.893982382
673	1.891537458
674	1.889418731
675	1.888136512
676	1.886586592
677	1.884637731
678	1.882397192
679	1.88131805
680	1.880864562
681	1.879255031
682	1.878207639
683	1.876063865
684	1.874648944
685	1.873765137
686	1.872538585
687	1.871282871
688	1.869152956
689	1.866209789
690	1.864318942
691	1.862972841
692	1.862064623
693	1.860145202
694	1.858048666
695	1.856874993
696	1.855235086
697	1.852605393
698	1.851221295
699	1.849899591
700	1.847495745
701	1.846202409
702	1.844458989
703	1.842738193
704	1.840811683
705	1.839545155
706	1.838262847
707	1.837493446
708	1.835977005
709	1.83449313
710	1.833373927
711	1.832386357
712	1.830869338
713	1.828970802
714	1.827419478
715	1.826114253
716	1.824719063
717	1.823650978
718	1.82274624
719	1.821642646
720	1.819375631
721	1.817050664
722	1.815377887
723	1.814304531
724	1.812472398
725	1.810731059
726	1.808875985
727	1.80667493
728	1.804885409
729	1.804012479
730	1.802678105
731	1.801006426
732	1.799881351
733	1.797582517
734	1.796090726
735	1.795206759
736	1.793314589
737	1.792453968
738	1.791337926
739	1.789930134
740	1.788326529
741	1.786776309
742	1.786068172
743	1.78458304
744	1.783450453
745	1.782047987
746	1.780407327
747	1.779041705
748	1.777563816
749	1.775800686
750	1.77437586
751	1.773026447
752	1.771568529
753	1.7704747
754	1.769738821
755	1.768677911
756	1.767923463
757	1.767400681
758	1.765961176
759	1.764682941
760	1.763721541
761	1.762510038
762	1.761817424
763	1.760894531
764	1.760369529
765	1.759462328
766	1.758437966
767	1.757457089
768	1.75662907
769	1.755931955
770	1.754532906
771	1.752843767
772	1.751551707
773	1.749902611
774	1.748686924
775	1.746526832
776	1.745939795
777	1.74481389
778	1.743345071
779	1.742084134
780	1.741033764
781	1.7396488
782	1.738613651
783	1.736987243
784	1.736112229
785	1.735116857
786	1.732882352
787	1.732130402
788	1.731016965
789	1.730218849
790	1.728748384
791	1.72776774
792	1.727107349
793	1.726333651
794	1.725504346
795	1.724295286
796	1.723154979
797	1.721817357
798	1.720845025
799	1.719579884
800	1.718267016
801	1.717026032
802	1.715497812
803	1.714983055
804	1.714133536
805	1.712904679
806	1.712028495
807	1.71094215
808	1.709172105
809	1.707801272
810	1.706475557
811	1.704771502
812	1.703619234
813	1.702413057
814	1.701300459
815	1.700404661
816	1.699730911
817	1.699003972
818	1.698128393
819	1.697363192
820	1.695247432
821	1.694122399
822	1.693283474
823	1.691348109
824	1.689630115
825	1.689021244
826	1.688133478
827	1.687201957
828	1.686097105
829	1.684728674
830	1.683898952
831	1.683204572
832	1.682290913
833	1.68165635
834	1.680715929
835	1.679853064
836	1.679135447
837	1.677965157
838	1.676840163
839	1.674874175
840	1.673666901
841	1.672062895
842	1.671168027
843	1.670541879
844	1.669945773
845	1.668782297
846	1.667706534
847	1.666226691
848	1.665548245
849	1.664871123
850	1.663716273
851	1.662694069
852	1.661552199
853	1.660295547
854	1.658692246
855	1.658333601
856	1.657585331
857	1.656623456
858	1.656217638
859	1.655664967
860	1.654816115
861	1.653774163
862	1.652614412
863	1.651683826
864	1.651076381
865	1.650035189
866	1.648522902
867	1.647231766
868	1.646234365
869	1.645515298
870	1.644465809
871	1.643436387
872	1.642927732
873	1.642471003
874	1.640788146
875	1.6402411
876	1.639598961
877	1.638510041
878	1.636941001
879	1.635825931
880	1.635113223
881	1.634129124
882	1.633436101
883	1.632867771
884	1.63244384
885	1.63170684
886	1.630587941
887	1.629561627
888	1.628387464
889	1.627610444
890	1.626786692
891	1.625410879
892	1.623888897
893	1.62284431
894	1.621753489
895	1.621361852
896	1.620264261
897	1.619236903
898	1.617514407
899	1.616877644
900	1.615422481
901	1.614548773
902	1.613847108
903	1.612912043
904	1.611546242
905	1.610792582
906	1.608983069
907	1.607801214
908	1.606643683
909	1.605660902
910	1.604460569
911	1.603198606
912	1.602352475
913	1.601637218
914	1.600338556
915	1.599193395
916	1.598139452
917	1.597091581
918	1.596416057
919	1.595688205
920	1.595095124
921	1.59446189
922	1.593563119
923	1.59321224
924	1.592365272
925	1.591541612
926	1.590383829
927	1.589920057
928	1.589071653
929	1.588497121
930	1.588148902
931	1.586837317
932	1.585951681
933	1.584566048
934	1.583452358
935	1.583142594
936	1.581871898
937	1.581084493
938	1.580307077
939	1.579146713
940	1.578013354
941	1.577258104
942	1.576540542
943	1.575221063
944	1.574302572
945	1.573399478
946	1.572162671
947	1.571129821
948	1.570630399
949	1.569434997
950	1.568025694
951	1.56736595
952	1.566473622
953	1.565869776
954	1.565062939
955	1.564403371
956	1.564001739
957	1.563014792
958	1.562218965
959	1.561755949
960	1.560968594
961	1.560000114
962	1.559257173
963	1.558479334
964	1.557552405
965	1.556141867
966	1.555519441
967	1.554555364
968	1.553483392
969	1.552847233
970	1.551771662
971	1.550838041
972	1.550036685
973	1.54938838
974	1.548144383
975	1.547526451
976	1.546762605
977	1.546201791
978	1.545480884
979	1.544074252
980	1.543361849
981	1.542793437
982	1.541822689
983	1.540927298
984	1.540317225
985	1.539991861
986	1.539326952
987	1.538300208
988	1.537894753
989	1.53749601
990	1.536048875
991	1.535200908
992	1.534311345
993	1.533505957
994	1.532812431
995	1.531989291
996	1.531300024
997	1.530724999
998	1.530131424
999	1.529549337
